Governança;;;Escala;;Margem;;Eficiência;;Retorno;;;Dívida
Ticker;Empresa;Segmento de listagem;Patrim Liq; Liquidez média diária;Margem EBIT;Margem Líquida;ROIC;ROE;Div. Yield;CAGR do lucro em 5 anos;Soma Div. + CAGR;Dívida Líquida/EBIT
ITUB3;ItauUnibanco;N1;130667;20,0338;0;0;0;0,1499;0,0459;0,0493;0,0952;0
ITUB4;ItauUnibanco;N1;130667;1040,57;0;0;0;0,1499;0,0406;0,0493;0,0899;0
BAZA3;Amazonia;0;2298,29;0,0709053;0;0;0;0,1473;0,0865;0,0848;0,1713;0
BMEB4;Merc Brasil;0;980,278;0,15148;0;0;0;0,1457;0,0435;0;0,0435;0
BBAS3;Brasil;NM;112088;621,25;0;0;0;0,1339;0,0377;0,072;0,1097;0
BEES3;Banestes;0;1638,97;0,356365;0;0;0;0,1319;0,0377;0,0854;0,1231;0
BEES4;;;1638,97;0,0319501;0;0;0;0,1319;0,0335;0,0854;0,1189;0
BPAN4;Banco Pan;N1;5221,42;21,939;0;0;0;0,1249;0,0379;0,4977;0,5356;0
BGIP4;Banese;0;497,842;0,0594786;0;0;0;0,1215;0,03;0,6433;0,6733;0
BGIP3;;;497,842;0,00033505;0;0;0;0,1215;0,0164;0,6433;0,6597;0
BBDC3;Bradesco;N1;137461;122,406;0;0;0;0,1161;0,0263;0,0655;0,0918;0
BBDC4;Bradesco;N1;137461;1130,37;0;0;0;0,1161;0,0257;0,0655;0,0912;0
BPAC5;;;25994,4;0,235348;0;0;0;0,1098;0,0177;0,1456;0,1633;0
BPAC11;Btgp Banco;N2;25994,4;269,481;0;0;0;0,1098;0,0136;0,1456;0,1592;0
BPAC3;;;25994,4;0,378748;0;0;0;0,1098;0,0089;0,1456;0,1545;0
BRSR6;Banrisul;N1;8352,8;29,7081;0;0;0;0,1068;0,0461;0,1538;0,1999;0
BRSR3;;;8352,8;0,190012;0;0;0;0,1068;0,0414;0,1538;0,1952;0
BRSR5;;;8352,8;0,00241938;0;0;0;0,1068;0,0355;0,1538;0,1893;0
ABCB4;Abc Brasil;N2;4187,56;13,1469;0;0;0;0,0864;0,0309;0,0866;0,1175;0
CRIV4;Alfa Financ;0;976,738;0,0241269;0;0;0;0,0595;0,0757;0,1418;0,2175;0
CRIV3;;;976,738;0,0184688;0;0;0;0,0595;0,0057;0,1418;0,1475;0
BRIV4;;;1528,35;0,0516293;0;0;0;0,0487;0,0617;0,0083;0,07;0
MERC4;;;249,134;0,0363586;0;0;0;0,0416;0,0408;0,589;0,6298;0
PEAB4;;;958,919;0,175843;0;0;0;0;0,5745;0,2697;0,8442;-0,83
PEAB3;;;958,919;0,175036;0;0;0;0;0,5353;0,2697;0,805;-0,83
MYPK3;Iochp-Maxion;NM;3839;24,4872;-0,0014;-0,0319;-0,0011;-0,0841;0,044;0,2899;0,3339;-52,69
RPAD5;;;1035,63;0,0122101;-29,0135;278,297;-0,0041;0,0398;0,0554;0,0448;0,1002;-0,18
RPAD3;;;1035,63;0,0201069;-29,0135;278,297;-0,0041;0,0398;0,0001;0,0448;0,0449;-0,18
RPAD6;;;1035,63;0,00761328;-29,0135;278,297;-0,0041;0,0398;0,0001;0,0448;0,0449;-0,18
CRDE3;;;120,364;0,0244368;-0,5961;-0,4858;-0,0352;-0,0267;0,5392;0;0,5392;-76,73
BRGE6;;;1236,49;0,00027715;-13,8157;2,6083;-0,2247;0,0398;0,0403;0,0266;0,0669;-30,24
BRGE11;;;1236,49;0,00182374;-13,8157;2,6083;-0,2247;0,0398;0,0321;0,0266;0,0587;-30,24
BRGE8;;;1236,49;0,00264513;-13,8157;2,6083;-0,2247;0,0398;0,0309;0,0266;0,0575;-30,24
GPIV33;GP Invest;0;1321,24;1,70395;1,3331;1,4451;-0,4612;-0,3044;0;1,1083;1,1083;0,83
BMEB3;;;980,278;0,0268417;0;0;0;0,1457;0,0379;0;0,0379;0
EEEL4;;;2689,4;0,00799477;0,4328;0,2702;0,1264;0,1425;0,0378;0;0,0378;0,13
EEEL3;Ceee-Gt;N1;2689,4;0,00383333;0,4328;0,2702;0,1264;0,1425;0,0377;0;0,0377;0,13
CMIG3;Cemig;N1;17297,7;12,0497;0,204;0,082;0,1092;0,1173;0,0364;-0,0006;0,0358;2,76
PATI3;;;551,782;0,0180427;0,0664;0,1053;0,1211;0,228;0,0057;0,0278;0,0335;0,2
BEEF3;Minerva;NM;1218,97;92,9529;0,0975;0,0445;0,211;0,6781;0,0313;0;0,0313;2,64
CEGR3;;;1180,52;0,00420597;0,1933;0,1097;0,2407;0,3331;0;0,0305;0,0305;1,18
BRAP3;Bradespar;N1;12012;2,21633;0;0;-0,0016;0,0627;0,0274;0;0,0274;-0,91
BRGE12;;;1236,49;0,0110638;-13,8157;2,6083;-0,2247;0,0398;0;0,0266;0,0266;-30,24
BRGE3;;;1236,49;0,0190081;-13,8157;2,6083;-0,2247;0,0398;0;0,0266;0,0266;-30,24
BRAP4;Bradespar;N1;12012;225,085;0;0;-0,0016;0,0627;0,0264;0;0,0264;-0,91
CEBR5;;;848,831;0,141997;-0,0822;0,0763;-0,0188;0,0626;0,0252;0;0,0252;-0,3
BMGB4;Banco BMG;N1;4061,74;11,2418;0;0;0;0,1023;0,0248;0;0,0248;0
GRND3;Grendene;NM;3670,68;13,9389;0,1716;0,1775;0,1171;0,0835;0,0204;0,004;0,0244;-5,78
VALE3;Vale;NM;194640;2944,49;0,4526;0,0726;0,2012;0,0795;0,0236;0;0,0236;1,08
ABEV3;Ambev S/A;0;78006,3;439,44;0,2477;0,1627;0,1551;0,1114;0,0257;-0,0028;0,0229;-1,18
DTEX3;Duratex;0;4878,6;47,6911;0,0976;0,0799;0,0607;0,0896;0,0155;0,0061;0,0216;2,65
CRPG5;Cristal;0;674,424;0,662258;0,1937;0,2028;0,1644;0,1792;0,0211;0;0,0211;-1,59
CRPG6;;;674,424;0,126112;0,1937;0,2028;0,1644;0,1792;0,021;0;0,021;-1,59
TEND3;Tenda;0;1479,06;36,8611;0,1578;0,0958;0,1288;0,1383;0,0173;0;0,0173;-0,98
GEPA3;;;1771,91;0,0139282;0,3893;0,1639;0,2752;0,1364;0,0457;-0,0291;0,0166;0,01
DOHL4;;;602,841;0,370169;0,0431;0,0732;0,0315;0,0582;0,0704;-0,0549;0,0155;-4,76
GEPA4;Ger Paranap;0;1771,91;0,0952292;0,3893;0,1639;0,2752;0,1364;0,042;-0,0291;0,0129;0,01
CEBR3;;;848,831;0,426006;-0,0822;0,0763;-0,0188;0,0626;0,0127;0;0,0127;-0,3
TGMA3;Tegma;NM;619,947;14,4203;0,0693;0,082;0,0988;0,1424;0,0127;0;0,0127;0,12
CEBR6;;;848,831;0,605614;-0,0822;0,0763;-0,0188;0,0626;0,0125;0;0,0125;-0,3
JSLG3;JSL;NM;1069,8;3,39071;0,0777;0,028;0,1999;0,2152;0,0099;0;0,0099;2,47
RANI4;Celul Irani;0;768,474;0,153039;0,1633;0,062;0,1105;0,0745;0,0096;0;0,0096;1,56
RANI3;Celul Irani;0;768,474;11,1749;0,1633;0,062;0,1105;0,0745;0,009;0;0,009;1,56
BRIV3;;;1528,35;0,0460836;0;0;0;0,0487;0;0,0083;0,0083;0
AALR3;Alliar;NM;1176,68;5,16922;-0,0234;-0,108;-0,0093;-0,0873;0,0078;0;0,0078;-40,11
PETR3;Petrobras;N2;247736;438,197;0,3271;-0,1693;0,1019;-0,1801;0,0076;0;0,0076;-87,82
VIVA3;Vivara S.A.;NM;1115,78;25,7348;0,1728;0,1471;0,1304;0,131;0,0041;0;0,0041;-1,4
MTSA4;Metisa;0;279,084;0,178704;0,0898;0,1467;0,1122;0,1738;0,0241;-0,0201;0,004;-1,03
BKBR3;Bk Brasil;NM;1448,07;26,2712;-0,1187;-0,1357;-0,0943;-0,2125;0,0039;0;0,0039;-1,73
HAPV3;Hapvida;NM;7840,69;150,824;0,1684;0,1118;0,1297;0,1149;0,0032;0;0,0032;-0,37
GPCP3;GPC Part;0;275,031;4,06945;0,0641;0,1313;0,0791;0,3571;0,0024;0;0,0024;0,69
HBTS5;;;294,595;0,0420827;-0,1207;-0,205;-0,0065;-0,0489;0,0017;0;0,0017;-8,11
GNDI3;Intermedica;NM;7105,29;434,322;0,144;0,0701;0,1151;0,1143;0,0016;0;0,0016;-0,13
LWSA3;Locaweb;NM;657,061;105,388;0,1017;0,0391;0,0707;0,027;0,0014;0;0,0014;-7,94
BIDI4;Banco Inter;N2;3251,96;70,0556;0;0;0;0,0004;0,0013;0;0,0013;0
BIDI3;Banco Inter;N2;3251,96;11,8828;0;0;0;0,0004;0,0012;0;0,0012;0
BIDI11;Banco Inter;N2;3251,96;101,444;0;0;0;0,0004;0,0012;0;0,0012;0
TXRX3;;;-304,703;0,00550285;0;0;0;0;0;0;0;-391,21
TXRX4;Tex Renaux;0;-304,703;0,136114;0;0;0;0;0;0;0;-391,21
SQIA3;Sinqia;NM;433,556;13,1257;-0,0189;0,0106;-0,014;0,0048;0;0;0;-181,72
PETR4;Petrobras;N2;247736;1785,96;0,3271;-0,1693;0,1019;-0,1801;0;0;0;-87,82
CTNM3;;;835,297;0,0606433;-0,0226;-0,2087;-0,0107;-0,2615;0;0;0;-43,22
CTNM4;Coteminas;0;835,297;0,141979;-0,0226;-0,2087;-0,0107;-0,2615;0;0;0;-43,22
FRTA3;Pomifrutas;NM;-64,884;0,266072;-0,0759;0,2616;-0,0289;-0,0449;0;0;0;-40,69
CEAB3;Cea Modas;NM;2549,3;18,0457;-0,0162;-0,0246;-0,0139;-0,0392;0;0;0;-37,73
TEKA3;;;-1656,93;0,0787209;-0,0322;-0,8943;-0,0069;0,0696;0;0;0;-33,86
TEKA4;;;-1656,93;0,211288;-0,0322;-0,8943;-0,0069;0,0696;0;0;0;-33,86
SGPS3;Springs;NM;1138,03;1,15032;0,0381;-0,2367;0,0188;-0,2867;0;0;0;-30,44
GOLL4;Gol;N2;-14759,2;261,933;-0,034;-0,6662;-0,0273;0,383;0;0;0;-26,78
OIBR3;Oi;N1;5982,22;356,421;-0,0858;-0,7724;-0,026;-2,439;0;0;0;-25,38
